0,2,2
0,176,184,64,8
0,74880,90336,40752,8976,1008,48
0,90408960,121065984,63951360,17759616,2872320,278016,15360,384
0,237617971200,343673303040,202717824000,65407180800,12943123200,1655781120,139392000,7603200,249600,3840
0,1159859699712000,1780791422976000,1140813555425280,410191172628480,93270554265600,14247651916800,1508640215040,112075453440,5807462400,203443200,4423680,46080
0,9462639862480896000,15246273259929600000,10421808429874544640,4071608172016680960,1026952754189967360,178307659157483520,22109565749483520,1998175940167680,132745496647680,6466813839360,227377059840,5549967360,85800960,645120
0,119720630833266032640000,200796561000272756736000,144711123926956218777600,60415241009583386787840,16528349328270038138880,3166169317852953968640,441843922442755768320,46026366788113367040,3629790873271664640,218065033148497920,9969100754780160,343607014195200,8742088212480,157223485440,1816657920,10321920
0,2221247018056830041456640000,3855175197947055480766464000,2904237338727171996883353600,1280729580277534827070095360,374303224008993996354355200,77564194739580892836003840,11877470107076545413120000,1380287720700295139819520,123832881173454682521600,8665188337608815738880,475146042332361523200,20406933381977210880,682378385994547200,17534066558238720,337908282163200,4664186634240,41803776000,185794560
0,57875363345940374711225548800000,103476098681327348341580759040000,80965230375737197759140200448000,37396163878121465462090052403200,11549033918313096837275320320000,2553455926152348117269741568000,421694240195528846498856960000,53496251894559728028037939200,5312875561161631329484800000,418297517171370849632256000,26311610109360809705472000,1327075152807942468403200,53660329481243197440000,1732280071673217024000,44252111014723584000,880831333741363200,13306420592640000,145421402112000,1040449536000,3715891200
